OBJID,Predicted_Type,p_ELLIPTICAL,p_SPIRAL
587722952231026688,ELLIPTICAL,0.6158914268016815,0.3841085731983185
587722952231551232,ELLIPTICAL,0.6111758649349213,0.38882413506507874
587722952231616768,ELLIPTICAL,0.6133990287780762,0.38660097122192383
587722952231616768,ELLIPTICAL,0.6149993240833282,0.38500067591667175
587722952231616896,ELLIPTICAL,0.613907516002655,0.38609248399734497
587722952231682304,ELLIPTICAL,0.6136015057563782,0.3863984942436218
587722952231682304,ELLIPTICAL,0.6104715168476105,0.3895284831523895
587722952231682432,ELLIPTICAL,0.6115603744983673,0.3884396255016327
587722952231682432,ELLIPTICAL,0.6151734590530396,0.38482654094696045
587722952231813632,ELLIPTICAL,0.6182151734828949,0.3817848265171051
587722952231878912,ELLIPTICAL,0.6128174960613251,0.3871825039386749
587722952231879168,ELLIPTICAL,0.617152988910675,0.38284701108932495
587722952231944192,ELLIPTICAL,0.6184453368186951,0.38155466318130493
587722952231944320,ELLIPTICAL,0.6171316802501678,0.38286831974983215
587722952231944576,ELLIPTICAL,0.6150576174259186,0.3849423825740814
587722952231944576,ELLIPTICAL,0.6121725738048553,0.38782742619514465
587722952232075392,ELLIPTICAL,0.6173094809055328,0.38269051909446716
587722952232075520,ELLIPTICAL,0.6155255436897278,0.3844744563102722
587722952232075520,ELLIPTICAL,0.6179508864879608,0.3820491135120392
587722952232075648,ELLIPTICAL,0.612173855304718,0.387826144695282
587722952232075648,ELLIPTICAL,0.6139062345027924,0.38609376549720764
587722952232206336,ELLIPTICAL,0.6188383400440216,0.3811616599559784
587722952232206720,ELLIPTICAL,0.6133684515953064,0.3866315484046936
587722952232206848,ELLIPTICAL,0.611439049243927,0.388560950756073
587722952232206848,ELLIPTICAL,0.6134130358695984,0.3865869641304016
587722952232272256,ELLIPTICAL,0.6136187314987183,0.38638126850128174
587722952232337664,ELLIPTICAL,0.6153077483177185,0.3846922516822815
587722952232337792,ELLIPTICAL,0.6146384179592133,0.38536158204078674
587722952232403328,ELLIPTICAL,0.6080572009086609,0.3919427990913391
587722952232468480,ELLIPTICAL,0.6107864677906036,0.38921353220939636
587722952232468992,ELLIPTICAL,0.6120781004428864,0.38792189955711365
587722952232534272,ELLIPTICAL,0.6109810769557953,0.3890189230442047
587722952232599936,ELLIPTICAL,0.615945428609848,0.384054571390152
587722952232599936,ELLIPTICAL,0.6144131720066071,0.38558682799339294
587722952232599936,ELLIPTICAL,0.6136259138584137,0.3863740861415863
587722952232600064,ELLIPTICAL,0.6157398223876953,0.3842601776123047
587722952232665472,ELLIPTICAL,0.6075737476348877,0.3924262523651123
587722952232730752,ELLIPTICAL,0.6189789474010468,0.38102105259895325
587722952232731264,ELLIPTICAL,0.6153303980827332,0.38466960191726685
587722952232796544,ELLIPTICAL,0.6211089491844177,0.3788910508155823
587722952232796672,ELLIPTICAL,0.6193307638168335,0.3806692361831665
587722952232796672,ELLIPTICAL,0.6124246716499329,0.38757532835006714
587722952232796800,ELLIPTICAL,0.614355206489563,0.385644793510437
587722952232796800,ELLIPTICAL,0.6139451265335083,0.3860548734664917
587722952232861952,ELLIPTICAL,0.6119038760662079,0.3880961239337921
587722952232861952,ELLIPTICAL,0.6139909327030182,0.3860090672969818
587722952232862080,ELLIPTICAL,0.6170831620693207,0.3829168379306793
587722952232927616,ELLIPTICAL,0.6166819334030151,0.38331806659698486
587722952232927616,ELLIPTICAL,0.6148376762866974,0.3851623237133026
587722952232927744,ELLIPTICAL,0.6179517805576324,0.38204821944236755
587722952233124224,ELLIPTICAL,0.608184814453125,0.391815185546875
587722952233124352,ELLIPTICAL,0.6145920753479004,0.3854079246520996
587722952233320960,ELLIPTICAL,0.6132312417030334,0.38676875829696655
587722952233320960,ELLIPTICAL,0.6151398420333862,0.38486015796661377
587722952233320960,ELLIPTICAL,0.6169145703315735,0.3830854296684265
587722952233517568,ELLIPTICAL,0.6126753389835358,0.38732466101646423
