OBJID,filename,filepath,pred_class_idx,pred_label,confidence
587732771056976000,587732771056976000_ra185.894700_dec9.648611.jpg,unknown_sdss_cutouts\587732771056976000_ra185.894700_dec9.648611.jpg,1,SPIRAL,0.8588680028915405
587732771057434752,587732771057434752_ra186.943800_dec9.671028.jpg,unknown_sdss_cutouts\587732771057434752_ra186.943800_dec9.671028.jpg,0,ELLIPTICAL,0.671697735786438
587732771060187136,587732771060187136_ra193.276700_dec9.516000.jpg,unknown_sdss_cutouts\587732771060187136_ra193.276700_dec9.516000.jpg,1,SPIRAL,0.9492182731628418
587732771061367040,587732771061367040_ra196.026000_dec9.503139.jpg,unknown_sdss_cutouts\587732771061367040_ra196.026000_dec9.503139.jpg,0,ELLIPTICAL,0.5891872644424438
587732771574579456,587732771574579456_ra141.392200_dec7.431778.jpg,unknown_sdss_cutouts\587732771574579456_ra141.392200_dec7.431778.jpg,0,ELLIPTICAL,0.92731112241745
587732771575955456,587732771575955456_ra144.523300_dec7.735111.jpg,unknown_sdss_cutouts\587732771575955456_ra144.523300_dec7.735111.jpg,0,ELLIPTICAL,0.8907768726348877
587732771575955456,587732771575955456_ra144.523800_dec7.734778.jpg,unknown_sdss_cutouts\587732771575955456_ra144.523800_dec7.734778.jpg,0,ELLIPTICAL,0.9439050555229187
587732771577462912,587732771577462912_ra147.957300_dec8.103778.jpg,unknown_sdss_cutouts\587732771577462912_ra147.957300_dec8.103778.jpg,1,SPIRAL,0.9026885032653809
587732771577462912,587732771577462912_ra147.957600_dec8.103361.jpg,unknown_sdss_cutouts\587732771577462912_ra147.957600_dec8.103361.jpg,1,SPIRAL,0.8899035453796387
587732771579560064,587732771579560064_ra152.797300_dec8.692250.jpg,unknown_sdss_cutouts\587732771579560064_ra152.797300_dec8.692250.jpg,0,ELLIPTICAL,0.9105279445648193
587732771580674048,587732771580674048_ra155.329700_dec8.899750.jpg,unknown_sdss_cutouts\587732771580674048_ra155.329700_dec8.899750.jpg,0,ELLIPTICAL,0.9663606286048889
587732771580674048,587732771580674048_ra155.330100_dec8.899445.jpg,unknown_sdss_cutouts\587732771580674048_ra155.330100_dec8.899445.jpg,0,ELLIPTICAL,0.9391621351242065
587732771586637952,587732771586637952_ra169.233500_dec9.665750.jpg,unknown_sdss_cutouts\587732771586637952_ra169.233500_dec9.665750.jpg,1,SPIRAL,0.7084546089172363
587732771588472832,587732771588472832_ra173.379300_dec9.846694.jpg,unknown_sdss_cutouts\587732771588472832_ra173.379300_dec9.846694.jpg,0,ELLIPTICAL,0.9598549604415894
587732771589718144,587732771589718144_ra176.233500_dec9.902695.jpg,unknown_sdss_cutouts\587732771589718144_ra176.233500_dec9.902695.jpg,1,SPIRAL,0.6261009573936462
587732771589718144,587732771589718144_ra176.355600_dec9.942945.jpg,unknown_sdss_cutouts\587732771589718144_ra176.355600_dec9.942945.jpg,0,ELLIPTICAL,0.9266942143440247
587732771589783680,587732771589783680_ra176.429400_dec10.024860.jpg,unknown_sdss_cutouts\587732771589783680_ra176.429400_dec10.024860.jpg,1,SPIRAL,0.9999580979347229
